data,hora,temperatura
04/12/2021,13:00:00,27.8
04/12/2021,14:00:00,27.3
04/12/2021,15:00:00,27.7
04/12/2021,16:00:00,26.6
04/12/2021,17:00:00,25.3
04/12/2021,18:00:00,23.6
04/12/2021,19:00:00,23.6
04/12/2021,20:00:00,23.6
04/12/2021,21:00:00,22.8
04/12/2021,22:00:00,22.8
04/12/2021,23:00:00,22.5
04/13/2021,00:00:00,22.1
04/13/2021,01:00:00,22.1
04/13/2021,02:00:00,22.1
04/13/2021,03:00:00,22.1
04/13/2021,04:00:00,22
04/13/2021,05:00:00,22.1
04/13/2021,06:00:00,22.5
04/13/2021,07:00:00,23
04/13/2021,08:00:00,24
04/13/2021,09:00:00,25
04/13/2021,10:00:00,27.4
04/13/2021,11:00:00,27.8
04/13/2021,12:00:00,28.3
04/13/2021,13:00:00,29.3
04/13/2021,14:00:00,29.6
04/13/2021,15:00:00,29.6
04/13/2021,16:00:00,28.3
04/13/2021,17:00:00,26.1
04/13/2021,18:00:00,25.1
04/13/2021,19:00:00,24.6
04/13/2021,20:00:00,23.6
04/13/2021,21:00:00,23.6
04/13/2021,22:00:00,23
04/13/2021,23:00:00,22.6
04/14/2021,00:00:00,23
04/14/2021,01:00:00,22.6
04/14/2021,02:00:00,22.5
04/14/2021,03:00:00,22.5
04/14/2021,04:00:00,22.1
04/14/2021,05:00:00,22.5
04/14/2021,06:00:00,22.3
04/14/2021,07:00:00,24
04/14/2021,08:00:00,25
04/14/2021,09:00:00,26.7
04/14/2021,10:00:00,27.2
04/14/2021,11:00:00,28.6
04/14/2021,12:00:00,27.3
04/14/2021,13:00:00,25.7
04/14/2021,14:00:00,25.3
04/14/2021,15:00:00,25.1
04/14/2021,16:00:00,24
04/14/2021,17:00:00,23.8
04/14/2021,18:00:00,23.8
04/14/2021,19:00:00,23.8
04/14/2021,20:00:00,23.6
04/14/2021,21:00:00,23.6
04/14/2021,22:00:00,23
04/14/2021,23:00:00,23
04/15/2021,00:00:00,22.6
04/15/2021,01:00:00,22.5
04/15/2021,02:00:00,22.1
04/15/2021,03:00:00,22.1
04/15/2021,04:00:00,22.1
04/15/2021,05:00:00,22.1
04/15/2021,06:00:00,22.1
04/15/2021,07:00:00,22.8
04/15/2021,08:00:00,23.3
04/15/2021,09:00:00,24.9
04/15/2021,10:00:00,27
04/15/2021,11:00:00,26.8
04/15/2021,12:00:00,26
04/15/2021,13:00:00,24.1
04/15/2021,14:00:00,23.3
04/15/2021,15:00:00,23.2
04/15/2021,16:00:00,22.6
04/15/2021,17:00:00,22.4
04/15/2021,18:00:00,21.8
04/15/2021,19:00:00,22
04/15/2021,20:00:00,22
04/15/2021,21:00:00,21.8
04/15/2021,22:00:00,21.8
04/15/2021,23:00:00,21.5
04/16/2021,00:00:00,21
04/16/2021,01:00:00,21.1
04/16/2021,02:00:00,21.1
04/16/2021,03:00:00,21.6
04/16/2021,04:00:00,22.4
04/16/2021,05:00:00,22.8
04/16/2021,06:00:00,23.7
04/16/2021,07:00:00,22
04/16/2021,08:00:00,24
04/16/2021,09:00:00,25.2
04/16/2021,10:00:00,26.4
04/16/2021,11:00:00,27.4
04/16/2021,12:00:00,27.8
04/16/2021,13:00:00,28.4
04/16/2021,14:00:00,27.6
04/16/2021,15:00:00,27.1
04/16/2021,16:00:00,25.6
04/16/2021,17:00:00,24.6
04/16/2021,18:00:00,23.8
04/16/2021,19:00:00,23.8
04/16/2021,20:00:00,23.6
04/16/2021,21:00:00,22.8
04/16/2021,22:00:00,22.8
04/16/2021,23:00:00,22.5
04/17/2021,00:00:00,22.1
04/17/2021,01:00:00,22
04/17/2021,02:00:00,22.1
04/17/2021,03:00:00,22.5
04/17/2021,04:00:00,23.1
04/17/2021,05:00:00,23.6
04/17/2021,06:00:00,24.8
04/17/2021,07:00:00,22.8
04/17/2021,08:00:00,23.8
04/17/2021,09:00:00,25
04/17/2021,10:00:00,27
04/17/2021,11:00:00,26.3
04/17/2021,12:00:00,27.3
04/17/2021,13:00:00,28.5
04/17/2021,14:00:00,27.4
04/17/2021,15:00:00,27.3
04/17/2021,16:00:00,27
04/17/2021,17:00:00,24.3
04/17/2021,18:00:00,23.6
04/17/2021,19:00:00,23.6
04/17/2021,20:00:00,23
04/17/2021,21:00:00,22.8
04/17/2021,22:00:00,22
04/17/2021,23:00:00,21.6
04/18/2021,00:00:00,21.5
04/18/2021,01:00:00,21.5
04/18/2021,02:00:00,21.5
04/18/2021,03:00:00,21.8
04/18/2021,04:00:00,22.7
04/18/2021,05:00:00,23.2
04/18/2021,06:00:00,24
04/18/2021,07:00:00,22.3
04/18/2021,08:00:00,23.8
04/18/2021,09:00:00,24.8
04/18/2021,10:00:00,26.4
04/18/2021,11:00:00,25.9
04/18/2021,12:00:00,23.6
04/18/2021,13:00:00,23.8
