nome,data,hora,potencia,
Pow-AC1Triunfo,04/14/2021,21:00:00,0,
Pow-AC1Triunfo,04/14/2021,22:00:00,0,
Pow-AC1Triunfo,04/14/2021,23:00:00,0,
Pow-AC1Triunfo,04/15/2021,00:00:00,0,
Pow-AC1Triunfo,04/15/2021,01:00:00,0,
Pow-AC1Triunfo,04/15/2021,02:00:00,0,
Pow-AC1Triunfo,04/15/2021,03:00:00,0,
Pow-AC1Triunfo,04/15/2021,04:00:00,0,
Pow-AC1Triunfo,04/15/2021,05:00:00,0,
Pow-AC1Triunfo,04/15/2021,06:00:00,0,
Pow-AC1Triunfo,04/15/2021,07:00:00,0,
Pow-AC1Triunfo,04/15/2021,08:00:00,1591,8485776487662;0;0;1591
Pow-AC1Triunfo,04/15/2021,09:00:00,1816,2096569920843;0;0;1816
Pow-AC1Triunfo,04/15/2021,10:00:00,1841,4410967741937;0;0;1841
Pow-AC1Triunfo,04/15/2021,11:00:00,1856,9371372549022;0;0;1856
Pow-AC1Triunfo,04/15/2021,12:00:00,1778,821736909323;0;0;1778
Pow-AC1Triunfo,04/15/2021,13:00:00,1737,9782603092783;0;0;1737
Pow-AC1Triunfo,04/15/2021,14:00:00,1734,1327486187843;0;0;1734
Pow-AC1Triunfo,04/15/2021,15:00:00,1230,8289125799574;0;0;1230
Pow-AC1Triunfo,04/15/2021,16:00:00,0,
Pow-AC1Triunfo,04/15/2021,17:00:00,0,
Pow-AC1Triunfo,04/15/2021,18:00:00,0,
Pow-AC1Triunfo,04/15/2021,19:00:00,0,
Pow-AC1Triunfo,04/15/2021,20:00:00,0,
Pow-AC1Triunfo,04/15/2021,21:00:00,0,
Pow-AC1Triunfo,04/15/2021,22:00:00,0,
Pow-AC1Triunfo,04/15/2021,23:00:00,0,
Pow-AC1Triunfo,04/16/2021,00:00:00,0,
Pow-AC1Triunfo,04/16/2021,01:00:00,0,
Pow-AC1Triunfo,04/16/2021,02:00:00,0,
Pow-AC1Triunfo,04/16/2021,03:00:00,0,
Pow-AC1Triunfo,04/16/2021,04:00:00,0,
Pow-AC1Triunfo,04/16/2021,05:00:00,0,
Pow-AC1Triunfo,04/16/2021,06:00:00,0,
Pow-AC1Triunfo,04/16/2021,07:00:00,0,
Pow-AC1Triunfo,04/16/2021,08:00:00,1620,293316062176;0;0;1620
Pow-AC1Triunfo,04/16/2021,09:00:00,1816,9716644993498;0;0;1816
Pow-AC1Triunfo,04/16/2021,10:00:00,1302,6947592592592;0;0;1302
Pow-AC1Triunfo,04/16/2021,11:00:00,1224,0264207221348;0;0;1224
Pow-AC1Triunfo,04/16/2021,12:00:00,1194,901590551181;0;0;1194
Pow-AC1Triunfo,04/16/2021,13:00:00,1352,0005709876543;0;0;1352
