data,hora_utc,hora_simples,temperatura
22/04/2021,0500,05,22.7
22/04/2021,0600,06,22.7
22/04/2021,0700,07,22.5
22/04/2021,0800,08,22.5
22/04/2021,0900,09,23.1
22/04/2021,1000,10,24
22/04/2021,1100,11,25.4
22/04/2021,1200,12,26.2
22/04/2021,1300,13,27.3
22/04/2021,1400,14,28.6
22/04/2021,1500,15,29.1
22/04/2021,1600,16,29.8
22/04/2021,1700,17,30.3
22/04/2021,1800,18,28.8
22/04/2021,1900,19,27.6
22/04/2021,2000,20,25.7
22/04/2021,2100,21,24.9
22/04/2021,2200,22,24.3
22/04/2021,2300,23,23.6
23/04/2021,0000,00,23.4
23/04/2021,0100,01,23
23/04/2021,0200,02,23
23/04/2021,0300,03,22.8
23/04/2021,0400,04,22.5
23/04/2021,0500,05,22.5
23/04/2021,0600,06,22.3
23/04/2021,0700,07,22.4
23/04/2021,0800,08,22
23/04/2021,0900,09,22.6
23/04/2021,1000,10,24.3
23/04/2021,1100,11,25
23/04/2021,1200,12,26.2
23/04/2021,1300,13,27.6
23/04/2021,1400,14,28.4
23/04/2021,1500,15,29.2
23/04/2021,1600,16,29.2
23/04/2021,1700,17,30.4
23/04/2021,1800,18,29.3
23/04/2021,1900,19,27.9
23/04/2021,2000,20,26.4
23/04/2021,2100,21,25.3
23/04/2021,2200,22,24.5
23/04/2021,2300,23,23.9
24/04/2021,0000,00,23.7
24/04/2021,0100,01,23.1
24/04/2021,0200,02,22.7
24/04/2021,0300,03,22.4
24/04/2021,0400,04,22.2
24/04/2021,0500,05,22.2
24/04/2021,0600,06,22
24/04/2021,0700,07,21.6
24/04/2021,0800,08,21.5
24/04/2021,0900,09,21.8
24/04/2021,1000,10,23.1
24/04/2021,1100,11,24.9
24/04/2021,1200,12,25.3
24/04/2021,1300,13,25.7
24/04/2021,1400,14,24
24/04/2021,1500,15,26.3
24/04/2021,1600,16,28.1
24/04/2021,1700,17,28.7
24/04/2021,1800,18,28.9
24/04/2021,1900,19,27.9
24/04/2021,2000,20,26.3
24/04/2021,2100,21,24.9
24/04/2021,2200,22,23.9
24/04/2021,2300,23,23.1
25/04/2021,0000,00,22.4
25/04/2021,0100,01,22
25/04/2021,0200,02,21.7
25/04/2021,0300,03,21.8
25/04/2021,0400,04,22
25/04/2021,0500,05,21.8
25/04/2021,0600,06,21.3
25/04/2021,0700,07,21.3
25/04/2021,0800,08,21.2
25/04/2021,0900,09,21.5
25/04/2021,1000,10,23.4
25/04/2021,1100,11,24.9
25/04/2021,1200,12,25.7
25/04/2021,1300,13,27.5
25/04/2021,1400,14,27.7
25/04/2021,1500,15,28.6
25/04/2021,1600,16,28.8
25/04/2021,1700,17,29.1
25/04/2021,1800,18,28.9
25/04/2021,1900,19,28.6
25/04/2021,2000,20,26.9
25/04/2021,2100,21,25.1
25/04/2021,2200,22,24.4
25/04/2021,2300,23,23.6
26/04/2021,0000,00,23.2
26/04/2021,0100,01,22.8
26/04/2021,0200,02,22.4
26/04/2021,0300,03,22.4
26/04/2021,0400,04,22.3
26/04/2021,0500,05,22
26/04/2021,0600,06,22
26/04/2021,0700,07,22.1
26/04/2021,0800,08,22
26/04/2021,0900,09,22.1
26/04/2021,1000,10,23.4
26/04/2021,1100,11,24.5
26/04/2021,1200,12,26.5
26/04/2021,1300,13,27.7
26/04/2021,1400,14,29.1
26/04/2021,1500,15,28.9
26/04/2021,1600,16,29.2
26/04/2021,1700,17,29.9
26/04/2021,1800,18,29.4
26/04/2021,1900,19,28.3
26/04/2021,2000,20,26.8
26/04/2021,2100,21,25.1
26/04/2021,2200,22,23.9
26/04/2021,2300,23,23.3
27/04/2021,0000,00,22.8
27/04/2021,0100,01,22.3
27/04/2021,0200,02,22.3
27/04/2021,0300,03,22.1
27/04/2021,0400,04,22
27/04/2021,0500,05,21.8
27/04/2021,0600,06,21.8
27/04/2021,0700,07,22
27/04/2021,0800,08,21.8
27/04/2021,0900,09,22.5
27/04/2021,1000,10,23
27/04/2021,1100,11,24.8
27/04/2021,1200,12,26.4
27/04/2021,1300,13,27.3
27/04/2021,1400,14,29
27/04/2021,1500,15,28.9
27/04/2021,1600,16,30.2
27/04/2021,1700,17,30.1
27/04/2021,1800,18,30.1
27/04/2021,1900,19,29.2
27/04/2021,2000,20,27.8
27/04/2021,2100,21,26
27/04/2021,2200,22,24.9
27/04/2021,2300,23,24.1
28/04/2021,0000,00,23.5
28/04/2021,0100,01,23.2
28/04/2021,0200,02,22.9
28/04/2021,0300,03,23.1
28/04/2021,0400,04,22.6
