nome,data,hora,potencia,hora_simples,,
Pow-ACSuporte,04/11/2021,08:00:00,0,08,,
Pow-ACSuporte,04/11/2021,09:00:00,0,09,,
Pow-ACSuporte,04/11/2021,10:00:00,0,10,,
Pow-ACSuporte,04/11/2021,11:00:00,0,11,,
Pow-ACSuporte,04/11/2021,12:00:00,0,12,,
Pow-ACSuporte,04/11/2021,13:00:00,0,13,,
Pow-ACSuporte,04/11/2021,14:00:00,0,14,,
Pow-ACSuporte,04/11/2021,15:00:00,0,15,,
Pow-ACSuporte,04/11/2021,16:00:00,0,16,,
Pow-ACSuporte,04/11/2021,17:00:00,0,17,,
Pow-ACSuporte,04/11/2021,18:00:00,0,18,,
Pow-ACSuporte,04/11/2021,19:00:00,0,19,,
Pow-ACSuporte,04/11/2021,20:00:00,0,20,,
Pow-ACSuporte,04/11/2021,21:00:00,0,21,,
Pow-ACSuporte,04/11/2021,22:00:00,0,22,,
Pow-ACSuporte,04/11/2021,23:00:00,0,23,,
Pow-ACSuporte,04/12/2021,00:00:00,0,00,,
Pow-ACSuporte,04/12/2021,01:00:00,0,01,,
Pow-ACSuporte,04/12/2021,02:00:00,0,02,,
Pow-ACSuporte,04/12/2021,03:00:00,0,03,,
Pow-ACSuporte,04/12/2021,04:00:00,0,04,,
Pow-ACSuporte,04/12/2021,05:00:00,0,05,,
Pow-ACSuporte,04/12/2021,06:00:00,0,06,,
Pow-ACSuporte,04/12/2021,07:00:00,1803,07,,
Pow-ACSuporte,04/12/2021,08:00:00,1931,08,,
Pow-ACSuporte,04/12/2021,09:00:00,1942,09,,
Pow-ACSuporte,04/12/2021,10:00:00,1936,10,,
Pow-ACSuporte,04/12/2021,11:00:00,1957,11,,
Pow-ACSuporte,04/12/2021,12:00:00,1957,12,,
Pow-ACSuporte,04/12/2021,13:00:00,1914,13,,
Pow-ACSuporte,04/12/2021,14:00:00,1882,14,,
Pow-ACSuporte,04/12/2021,15:00:00,1776,15,,
Pow-ACSuporte,04/12/2021,16:00:00,1770,16,,
Pow-ACSuporte,04/12/2021,17:00:00,0,17,,
Pow-ACSuporte,04/12/2021,18:00:00,0,18,,
Pow-ACSuporte,04/12/2021,19:00:00,0,19,,
Pow-ACSuporte,04/12/2021,20:00:00,0,20,,
Pow-ACSuporte,04/12/2021,21:00:00,0,21,,
Pow-ACSuporte,04/12/2021,22:00:00,0,22,,
Pow-ACSuporte,04/12/2021,23:00:00,0,23,,
Pow-ACSuporte,04/13/2021,00:00:00,0,00,,
Pow-ACSuporte,04/13/2021,01:00:00,0,01,,
Pow-ACSuporte,04/13/2021,02:00:00,0,02,,
Pow-ACSuporte,04/13/2021,03:00:00,0,03,,
Pow-ACSuporte,04/13/2021,04:00:00,0,04,,
Pow-ACSuporte,04/13/2021,05:00:00,0,05,,
Pow-ACSuporte,04/13/2021,06:00:00,0,06,,
Pow-ACSuporte,04/13/2021,07:00:00,0,07,,
Pow-ACSuporte,04/13/2021,08:00:00,0,08,,
Pow-ACSuporte,04/13/2021,09:00:00,1989,09,,
Pow-ACSuporte,04/13/2021,10:00:00,2088,10,,
Pow-ACSuporte,04/13/2021,11:00:00,2141,11,,
Pow-ACSuporte,04/13/2021,12:00:00,2059,12,,
Pow-ACSuporte,04/13/2021,13:00:00,2037,13,,
Pow-ACSuporte,04/13/2021,14:00:00,2049,14,,
Pow-ACSuporte,04/13/2021,15:00:00,2029,15,,
Pow-ACSuporte,04/13/2021,16:00:00,2007,16,,
Pow-ACSuporte,04/13/2021,17:00:00,1695,17,,
Pow-ACSuporte,04/13/2021,18:00:00,1695,18,,
Pow-ACSuporte,04/13/2021,19:00:00,64,19,,
Pow-ACSuporte,04/13/2021,20:00:00,0,20,,0
Pow-ACSuporte,04/13/2021,21:00:00,0,21,,0
Pow-ACSuporte,04/13/2021,22:00:00,0,22,,0
Pow-ACSuporte,04/13/2021,23:00:00,0,23,,0
Pow-ACSuporte,04/14/2021,00:00:00,0,00,,0
Pow-ACSuporte,04/14/2021,01:00:00,0,01,,0
Pow-ACSuporte,04/14/2021,02:00:00,0,02,,0
Pow-ACSuporte,04/14/2021,03:00:00,0,03,,0
Pow-ACSuporte,04/14/2021,04:00:00,0,04,,0
Pow-ACSuporte,04/14/2021,05:00:00,0,05,,0
Pow-ACSuporte,04/14/2021,06:00:00,0,06,,0
Pow-ACSuporte,04/14/2021,07:00:00,0,07,,0
Pow-ACSuporte,04/14/2021,08:00:00,977,08,,
Pow-ACSuporte,04/14/2021,09:00:00,2045,09,,
Pow-ACSuporte,04/14/2021,10:00:00,2067,10,,
Pow-ACSuporte,04/14/2021,11:00:00,2056,11,,
Pow-ACSuporte,04/14/2021,12:00:00,2062,12,,
Pow-ACSuporte,04/14/2021,13:00:00,1940,13,,
Pow-ACSuporte,04/14/2021,14:00:00,1967,14,,
Pow-ACSuporte,04/14/2021,15:00:00,1948,15,,
Pow-ACSuporte,04/14/2021,16:00:00,1942,16,,
Pow-ACSuporte,04/14/2021,17:00:00,1786,17,,
Pow-ACSuporte,04/14/2021,18:00:00,0,18,,
Pow-ACSuporte,04/14/2021,19:00:00,0,19,,
Pow-ACSuporte,04/14/2021,20:00:00,0,20,,
Pow-ACSuporte,04/14/2021,21:00:00,0,21,,
Pow-ACSuporte,04/14/2021,22:00:00,0,22,,
Pow-ACSuporte,04/14/2021,23:00:00,0,23,,
Pow-ACSuporte,04/15/2021,00:00:00,0,00,,
Pow-ACSuporte,04/15/2021,01:00:00,0,01,,
Pow-ACSuporte,04/15/2021,02:00:00,0,02,,
Pow-ACSuporte,04/15/2021,03:00:00,0,03,,
Pow-ACSuporte,04/15/2021,04:00:00,0,04,,
Pow-ACSuporte,04/15/2021,05:00:00,0,05,,
Pow-ACSuporte,04/15/2021,06:00:00,0,06,,
Pow-ACSuporte,04/15/2021,07:00:00,0,07,,
Pow-ACSuporte,04/15/2021,08:00:00,1776,08,,
Pow-ACSuporte,04/15/2021,09:00:00,1985,09,,
Pow-ACSuporte,04/15/2021,10:00:00,1969,10,,
Pow-ACSuporte,04/15/2021,11:00:00,2006,11,,
Pow-ACSuporte,04/15/2021,12:00:00,1972,12,,
Pow-ACSuporte,04/15/2021,13:00:00,1931,13,,
Pow-ACSuporte,04/15/2021,14:00:00,1938,14,,
Pow-ACSuporte,04/15/2021,15:00:00,1915,15,,
Pow-ACSuporte,04/15/2021,16:00:00,1893,16,,
Pow-ACSuporte,04/15/2021,17:00:00,1827,17,,
Pow-ACSuporte,04/15/2021,18:00:00,0,18,,
Pow-ACSuporte,04/15/2021,19:00:00,0,19,,
Pow-ACSuporte,04/15/2021,20:00:00,0,20,,
Pow-ACSuporte,04/15/2021,21:00:00,0,21,,
Pow-ACSuporte,04/15/2021,22:00:00,0,22,,
Pow-ACSuporte,04/15/2021,23:00:00,0,23,,
Pow-ACSuporte,04/16/2021,00:00:00,0,00,,
Pow-ACSuporte,04/16/2021,01:00:00,0,01,,
Pow-ACSuporte,04/16/2021,02:00:00,0,02,,
Pow-ACSuporte,04/16/2021,03:00:00,0,03,,
Pow-ACSuporte,04/16/2021,04:00:00,0,04,,
Pow-ACSuporte,04/16/2021,05:00:00,0,05,,
Pow-ACSuporte,04/16/2021,06:00:00,0,06,,
Pow-ACSuporte,04/16/2021,07:00:00,0,07,,
Pow-ACSuporte,04/16/2021,08:00:00,1453,08,,
Pow-ACSuporte,04/16/2021,09:00:00,1979,09,,
Pow-ACSuporte,04/16/2021,10:00:00,1992,10,,
Pow-ACSuporte,04/16/2021,11:00:00,2017,11,,
Pow-ACSuporte,04/16/2021,12:00:00,2012,12,,
Pow-ACSuporte,04/16/2021,13:00:00,1987,13,,
Pow-ACSuporte,04/16/2021,14:00:00,1994,14,,
Pow-ACSuporte,04/16/2021,15:00:00,1967,15,,
Pow-ACSuporte,04/16/2021,16:00:00,1959,16,,
Pow-ACSuporte,04/16/2021,17:00:00,1935,17,,
Pow-ACSuporte,04/16/2021,18:00:00,1825,18,,
Pow-ACSuporte,04/16/2021,19:00:00,0,19,,
Pow-ACSuporte,04/16/2021,20:00:00,0,20,,
Pow-ACSuporte,04/16/2021,21:00:00,0,21,,
Pow-ACSuporte,04/16/2021,22:00:00,0,22,,
Pow-ACSuporte,04/16/2021,23:00:00,0,23,,
Pow-ACSuporte,04/17/2021,00:00:00,0,00,,
Pow-ACSuporte,04/17/2021,01:00:00,0,01,,
Pow-ACSuporte,04/17/2021,02:00:00,0,02,,
Pow-ACSuporte,04/17/2021,03:00:00,0,03,,
Pow-ACSuporte,04/17/2021,04:00:00,0,04,,
Pow-ACSuporte,04/17/2021,05:00:00,0,05,,0
Pow-ACSuporte,04/17/2021,06:00:00,0,06,,0
Pow-ACSuporte,04/17/2021,07:00:00,0,07,,
Pow-ACSuporte,04/17/2021,08:00:00,0,08,,
Pow-ACSuporte,04/17/2021,09:00:00,0,09,,
Pow-ACSuporte,04/17/2021,10:00:00,0,10,,
Pow-ACSuporte,04/17/2021,11:00:00,0,11,,
Pow-ACSuporte,04/17/2021,12:00:00,0,12,,
Pow-ACSuporte,04/17/2021,13:00:00,0,13,,
Pow-ACSuporte,04/17/2021,14:00:00,0,14,,0
Pow-ACSuporte,04/17/2021,15:00:00,0,15,,0
Pow-ACSuporte,04/17/2021,16:00:00,0,16,,
Pow-ACSuporte,04/17/2021,17:00:00,0,17,,
Pow-ACSuporte,04/17/2021,18:00:00,0,18,,
Pow-ACSuporte,04/17/2021,19:00:00,0,19,,
Pow-ACSuporte,04/17/2021,20:00:00,0,20,,
Pow-ACSuporte,04/17/2021,21:00:00,0,21,,
Pow-ACSuporte,04/17/2021,22:00:00,0,22,,
Pow-ACSuporte,04/17/2021,23:00:00,0,23,,
Pow-ACSuporte,04/18/2021,00:00:00,0,00,,
Pow-ACSuporte,04/18/2021,01:00:00,0,01,,0
Pow-ACSuporte,04/18/2021,02:00:00,0,02,,
Pow-ACSuporte,04/18/2021,03:00:00,0,03,,
Pow-ACSuporte,04/18/2021,04:00:00,0,04,,0
Pow-ACSuporte,04/18/2021,05:00:00,0,05,,0
Pow-ACSuporte,04/18/2021,06:00:00,0,06,,
Pow-ACSuporte,04/18/2021,07:00:00,0,07,,
Pow-ACSuporte,04/18/2021,08:00:00,0,08,,
Pow-ACSuporte,04/18/2021,09:00:00,0,09,,
Pow-ACSuporte,04/18/2021,10:00:00,0,10,,
Pow-ACSuporte,04/18/2021,11:00:00,0,11,,
Pow-ACSuporte,04/18/2021,12:00:00,0,12,,
Pow-ACSuporte,04/18/2021,13:00:00,0,13,,0
Pow-ACSuporte,04/18/2021,14:00:00,0,14,,
Pow-ACSuporte,04/18/2021,15:00:00,0,15,,
Pow-ACSuporte,04/18/2021,16:00:00,0,16,,0
Pow-ACSuporte,04/18/2021,17:00:00,0,17,,
Pow-ACSuporte,04/18/2021,18:00:00,0,18,,
Pow-ACSuporte,04/18/2021,19:00:00,0,19,,
Pow-ACSuporte,04/18/2021,20:00:00,0,20,,
Pow-ACSuporte,04/18/2021,21:00:00,0,21,,0
Pow-ACSuporte,04/18/2021,22:00:00,0,22,,
Pow-ACSuporte,04/18/2021,23:00:00,0,23,,
Pow-ACSuporte,04/19/2021,00:00:00,0,00,,
Pow-ACSuporte,04/19/2021,01:00:00,0,01,,
Pow-ACSuporte,04/19/2021,02:00:00,0,02,,
Pow-ACSuporte,04/19/2021,03:00:00,0,03,,
Pow-ACSuporte,04/19/2021,04:00:00,0,04,,
Pow-ACSuporte,04/19/2021,05:00:00,0,05,,
Pow-ACSuporte,04/19/2021,06:00:00,0,06,,
Pow-ACSuporte,04/19/2021,07:00:00,0,07,,
Pow-ACSuporte,04/19/2021,08:00:00,1725,08,,
Pow-ACSuporte,04/19/2021,09:00:00,1968,09,,
Pow-ACSuporte,04/19/2021,10:00:00,1946,10,,
Pow-ACSuporte,04/19/2021,11:00:00,1688,11,,
Pow-ACSuporte,04/19/2021,12:00:00,1993,12,,
Pow-ACSuporte,04/19/2021,13:00:00,1963,13,,
Pow-ACSuporte,04/19/2021,14:00:00,1930,14,,
Pow-ACSuporte,04/19/2021,15:00:00,1822,15,,
Pow-ACSuporte,04/19/2021,16:00:00,1661,16,,
Pow-ACSuporte,04/19/2021,17:00:00,1016,17,,
Pow-ACSuporte,04/19/2021,18:00:00,0,18,,
Pow-ACSuporte,04/19/2021,19:00:00,0,19,,
Pow-ACSuporte,04/19/2021,20:00:00,0,20,,
Pow-ACSuporte,04/19/2021,21:00:00,0,21,,
Pow-ACSuporte,04/19/2021,22:00:00,0,22,,
Pow-ACSuporte,04/19/2021,23:00:00,0,23,,
