data,hora,sala,temperatura,hora_simples
09/13/2021,16:00:00,TH teste,27.8,16
09/13/2021,17:00:00,TH-Caruru,26.8,17
09/13/2021,17:00:00,TH teste,27.8,17
09/13/2021,17:00:01,TH-Suporte,23.2,17
09/13/2021,18:00:00,TH-Suporte,24.9,18
09/13/2021,18:00:00,TH teste,27.8,18
09/13/2021,18:00:01,TH-Caruru,26.8,18
09/13/2021,19:00:00,TH teste,27.8,19
09/13/2021,19:00:00,TH-Caruru,26.8,19
09/13/2021,19:00:00,TH-Suporte,26.1,19
09/13/2021,20:00:00,TH teste,27.8,20
09/13/2021,20:00:00,TH-Suporte,26.7,20
09/13/2021,20:00:01,TH-Caruru,26.8,20
09/14/2021,11:07:00,TH teste,27.8,11
09/14/2021,11:07:00,TH-Caruru,26.3,11
09/14/2021,11:07:00,TH-Suporte,23.8,11
09/14/2021,12:00:00,TH teste,27.8,12
09/14/2021,12:00:00,TH-Caruru,26.3,12
09/14/2021,12:00:00,TH-Suporte,23.2,12
09/14/2021,15:16:10,406,Authentication failed,15
09/14/2021,15:16:10,406,Authentication failed,15
09/14/2021,15:16:10,406,Authentication failed,15
09/14/2021,15:16:32,TH-Suporte,23.3,15
09/14/2021,15:16:32,TH-Caruru,26.8,15
09/14/2021,15:16:32,TH teste,27.8,15
09/14/2021,15:17:09,406,Authentication failed,15
09/14/2021,15:17:09,406,Authentication failed,15
09/14/2021,15:17:09,406,Authentication failed,15
09/14/2021,15:17:54,TH teste,27.8,15
09/14/2021,15:17:54,TH-Caruru,26.8,15
09/14/2021,15:17:54,TH-Suporte,23.3,15
09/15/2021,04:19:19,TH-Suporte,27.5,04
09/15/2021,04:19:19,TH teste,27.8,04
09/15/2021,04:19:19,TH-Caruru,26.8,04
09/15/2021,07:00:00,TH-Suporte,27.9,07
09/15/2021,07:00:01,TH-Caruru,26.8,07
09/15/2021,07:00:01,TH teste,27.8,07
09/15/2021,08:00:00,TH teste,27.8,08
09/15/2021,08:00:00,TH-Suporte,27.9,08
09/15/2021,08:00:01,TH-Caruru,26.8,08
09/15/2021,09:00:00,TH teste,27.8,09
09/15/2021,09:00:00,TH-Caruru,26.8,09
09/15/2021,09:00:01,TH-Suporte,24.9,09
09/15/2021,10:00:00,TH-Suporte,23.4,10
09/15/2021,10:00:00,TH teste,27.8,10
09/15/2021,10:00:01,TH-Caruru,26.8,10
09/15/2021,11:00:00,TH-Caruru,26.8,11
09/15/2021,11:00:00,TH teste,27.8,11
09/15/2021,11:00:01,TH-Suporte,23.3,11
09/15/2021,12:00:00,TH-Suporte,23.2,12
09/15/2021,12:00:00,TH-Caruru,26.8,12
09/15/2021,12:00:01,TH teste,27.8,12
09/15/2021,13:00:00,TH-Suporte,23.0,13
09/15/2021,13:00:00,TH-Caruru,26.8,13
09/15/2021,13:00:01,TH teste,27.8,13
09/15/2021,14:00:00,TH-Caruru,26.8,14
09/15/2021,14:00:01,TH teste,27.8,14
09/15/2021,14:00:01,TH-Suporte,23.0,14
09/15/2021,15:00:00,TH-Suporte,23.0,15
09/15/2021,15:00:00,TH teste,27.8,15
09/15/2021,15:00:00,TH-Caruru,26.8,15
09/15/2021,16:00:00,TH teste,27.8,16
09/15/2021,16:00:00,TH-Caruru,26.8,16
09/15/2021,16:00:00,TH-Suporte,23.0,16
09/15/2021,17:00:00,TH-Caruru,26.8,17
09/15/2021,17:00:01,TH teste,27.8,17
09/15/2021,17:00:01,TH-Suporte,23.0,17
09/15/2021,18:00:00,TH-Suporte,24.8,18
09/15/2021,18:00:00,TH teste,27.8,18
09/15/2021,18:00:01,TH-Caruru,27.0,18
09/15/2021,19:00:00,TH-Suporte,25.4,19
09/15/2021,19:00:00,TH-Caruru,27.0,19
09/15/2021,19:00:01,TH teste,27.8,19
09/15/2021,20:00:00,TH-Caruru,27.0,20
09/15/2021,20:00:00,TH teste,27.8,20
09/15/2021,20:00:01,TH-Suporte,26.0,20
09/16/2021,03:59:45,TH-Suporte,27.6,03
09/16/2021,03:59:45,TH-Caruru,27.0,03
09/16/2021,03:59:45,TH teste,27.8,03
09/16/2021,07:00:00,TH-Suporte,27.6,07
09/16/2021,07:00:00,TH teste,27.8,07
09/16/2021,07:00:01,TH-Caruru,26.4,07
09/16/2021,08:00:00,TH teste,27.8,08
09/16/2021,08:00:00,TH-Caruru,26.4,08
09/16/2021,08:00:00,TH-Suporte,27.6,08
09/16/2021,09:00:00,TH-Suporte,25.2,09
09/16/2021,09:00:00,TH teste,27.8,09
09/16/2021,09:00:01,TH-Caruru,26.4,09
09/16/2021,10:00:00,TH-Caruru,26.5,10
09/16/2021,10:00:00,TH teste,27.8,10
09/16/2021,10:00:01,TH-Suporte,24.0,10
09/16/2021,11:00:03,TH-Caruru,26.6,11
09/16/2021,11:00:03,TH-Suporte,23.4,11
09/16/2021,11:00:03,TH teste,27.8,11
09/16/2021,12:00:00,TH-Caruru,26.6,12
09/16/2021,12:00:00,TH-Suporte,23.0,12
09/16/2021,12:00:01,TH teste,27.8,12
09/16/2021,13:00:00,TH-Caruru,26.6,13
09/16/2021,13:00:00,TH-Suporte,23.0,13
09/16/2021,13:00:01,TH teste,27.8,13
09/16/2021,14:00:00,TH-Caruru,26.6,14
09/16/2021,14:00:00,TH-Suporte,23.0,14
09/16/2021,14:00:00,TH teste,27.8,14
09/16/2021,15:00:00,TH-Caruru,26.6,15
09/16/2021,15:00:00,TH teste,27.8,15
09/16/2021,15:00:00,TH-Suporte,23.0,15
09/16/2021,16:00:00,TH-Suporte,23.0,16
09/16/2021,16:00:00,TH-Caruru,26.6,16
09/16/2021,16:00:01,TH teste,27.8,16
09/16/2021,17:00:00,TH-Suporte,23.0,17
09/16/2021,17:00:00,TH teste,27.8,17
09/16/2021,17:00:00,TH-Caruru,26.6,17
09/16/2021,18:00:00,TH-Caruru,26.6,18
09/16/2021,18:00:00,TH teste,27.8,18
09/16/2021,18:00:01,TH-Suporte,24.1,18
09/16/2021,19:00:00,TH teste,27.8,19
09/16/2021,19:00:00,TH-Suporte,25.3,19
09/16/2021,19:00:00,TH-Caruru,26.6,19
09/16/2021,20:00:00,TH-Suporte,25.9,20
09/16/2021,20:00:00,TH-Caruru,26.6,20
09/16/2021,20:00:01,TH teste,27.8,20
09/17/2021,03:52:02,TH-Suporte,27.1,03
09/17/2021,03:52:02,TH-Caruru,26.8,03
09/17/2021,03:52:03,TH teste,27.8,03
09/17/2021,07:00:00,TH-Suporte,27.5,07
09/17/2021,07:00:00,TH-Caruru,26.6,07
09/17/2021,07:00:01,TH teste,27.8,07
09/17/2021,08:00:00,TH teste,27.8,08
09/17/2021,08:00:00,TH-Suporte,27.5,08
09/17/2021,08:00:00,TH-Caruru,26.6,08
09/17/2021,09:00:00,TH-Suporte,25.2,09
09/17/2021,09:00:00,TH-Caruru,26.4,09
09/17/2021,09:00:01,TH teste,27.8,09
09/17/2021,10:00:00,TH-Caruru,26.4,10
09/17/2021,10:00:00,TH-Suporte,24.0,10
09/17/2021,10:00:00,TH teste,27.8,10
09/17/2021,11:00:00,TH teste,27.8,11
09/17/2021,11:00:00,TH-Caruru,26.4,11
09/17/2021,11:00:00,TH-Suporte,23.4,11
09/17/2021,12:00:02,TH-Caruru,26.4,12
09/17/2021,12:00:03,TH teste,27.8,12
09/17/2021,12:00:03,TH-Suporte,23.4,12
09/17/2021,13:00:00,TH-Suporte,23.1,13
09/17/2021,13:00:00,TH teste,27.8,13
09/17/2021,13:00:00,TH-Caruru,26.4,13
09/17/2021,14:00:00,TH teste,27.8,14
09/17/2021,14:00:00,TH-Caruru,27.0,14
09/17/2021,14:00:01,TH-Suporte,23.1,14
09/17/2021,15:00:00,TH-Caruru,27.0,15
09/17/2021,15:00:00,TH-Suporte,23.2,15
09/17/2021,15:00:00,TH teste,27.8,15
09/17/2021,16:00:00,TH-Caruru,27.0,16
09/17/2021,16:00:01,TH-Suporte,23.2,16
09/17/2021,16:00:01,TH teste,27.8,16
09/17/2021,17:00:00,TH-Caruru,27.0,17
09/17/2021,17:00:01,TH-Suporte,23.2,17
09/17/2021,17:00:01,TH teste,27.8,17
09/17/2021,18:00:00,TH teste,27.8,18
09/17/2021,18:00:00,TH-Caruru,27.3,18
09/17/2021,18:00:02,TH-Suporte,24.4,18
09/17/2021,19:00:01,TH teste,27.8,19
09/17/2021,19:00:01,TH-Caruru,27.3,19
09/17/2021,19:00:01,TH-Suporte,25.6,19
09/17/2021,20:00:00,TH-Caruru,27.3,20
09/17/2021,20:00:00,TH teste,27.8,20
09/17/2021,20:00:01,TH-Suporte,26.2,20
09/20/2021,09:22:58,TH-Suporte,26.5,09
09/20/2021,09:22:58,TH teste,27.8,09
09/20/2021,09:22:59,TH-Caruru,27.6,09
09/20/2021,10:00:00,TH-Caruru,27.6,10
09/20/2021,10:00:00,TH-Suporte,25.0,10
09/20/2021,10:00:00,TH teste,27.8,10
09/20/2021,11:00:00,TH-Suporte,25.1,11
09/20/2021,11:00:00,TH teste,27.8,11
09/20/2021,11:00:00,TH-Caruru,27.5,11
09/20/2021,12:00:00,TH teste,27.8,12
09/20/2021,12:00:00,TH-Suporte,23.6,12
09/20/2021,12:00:01,TH-Caruru,27.5,12
09/20/2021,13:00:00,TH-Suporte,23.5,13
09/20/2021,13:00:00,TH teste,27.8,13
09/20/2021,13:00:00,TH-Caruru,27.5,13
09/20/2021,14:00:00,TH teste,27.8,14
09/20/2021,14:00:00,TH-Caruru,27.5,14
09/20/2021,14:00:01,TH-Suporte,24.1,14
09/20/2021,15:00:00,TH teste,27.8,15
09/20/2021,15:00:00,TH-Suporte,23.4,15
09/20/2021,15:00:00,TH-Caruru,27.5,15
09/20/2021,16:00:00,TH-Caruru,27.5,16
09/20/2021,16:00:00,TH-Suporte,23.4,16
09/20/2021,16:00:00,TH teste,27.8,16
09/20/2021,17:00:00,TH teste,27.8,17
09/20/2021,17:00:00,TH-Suporte,23.0,17
09/20/2021,17:00:00,TH-Caruru,27.9,17
09/20/2021,18:00:00,TH-Caruru,27.9,18
09/20/2021,18:00:00,TH-Suporte,24.8,18
09/20/2021,18:00:00,TH teste,27.8,18
09/22/2021,03:10:24,TH-Suporte,27.9,03
09/22/2021,03:10:24,TH-Caruru,27.7,03
09/22/2021,03:10:25,TH teste,27.8,03
09/22/2021,07:00:00,TH teste,27.8,07
09/22/2021,07:00:00,TH-Caruru,27.4,07
09/22/2021,07:00:01,TH-Suporte,27.9,07
09/22/2021,08:00:00,TH-Suporte,28.5,08
09/22/2021,08:00:00,TH teste,27.8,08
09/22/2021,08:00:00,TH-Caruru,27.2,08
09/22/2021,09:00:00,TH-Suporte,25.5,09
09/22/2021,09:00:00,TH teste,27.8,09
09/22/2021,09:00:00,TH-Caruru,27.2,09
09/22/2021,10:00:00,TH teste,27.8,10
09/22/2021,10:00:00,TH-Caruru,27.2,10
09/22/2021,10:00:00,TH-Suporte,24.1,10
09/22/2021,11:00:00,TH-Suporte,24.1,11
09/22/2021,11:00:00,TH-Caruru,27.2,11
09/22/2021,11:00:01,TH teste,27.8,11
09/22/2021,12:00:01,TH teste,27.8,12
09/22/2021,12:00:02,TH-Caruru,27.2,12
09/22/2021,12:00:02,TH-Suporte,24.2,12
09/22/2021,13:00:00,TH teste,27.8,13
09/22/2021,13:00:00,TH-Suporte,23.2,13
09/22/2021,13:00:01,TH-Caruru,27.2,13
09/22/2021,14:00:00,TH-Suporte,23.1,14
09/22/2021,14:00:00,TH-Caruru,27.2,14
09/22/2021,14:00:01,TH teste,27.8,14
09/22/2021,15:00:00,TH teste,27.8,15
09/22/2021,15:00:00,TH-Caruru,27.8,15
09/22/2021,15:00:00,TH-Suporte,23.1,15
09/22/2021,16:00:00,TH-Caruru,27.8,16
09/22/2021,16:00:01,TH-Suporte,23.5,16
09/22/2021,16:00:01,TH teste,27.8,16
