nome,data,hora,potencia
Pow-ACSuporte,15/10/2021,14:00:00,1421
Pow-ACSuporte,15/10/2021,15:00:00,1933
Pow-ACSuporte,15/10/2021,16:00:00,1926
Pow-ACSuporte,15/10/2021,17:00:00,1480
Pow-ACSuporte,15/10/2021,18:00:00,0
Pow-ACSuporte,15/10/2021,19:00:00,0
Pow-ACSuporte,15/10/2021,20:00:00,0
Pow-ACSuporte,15/10/2021,21:00:00,0
Pow-ACSuporte,15/10/2021,22:00:00,0
Pow-ACSuporte,15/10/2021,23:00:00,0
